Gene1,Gene2,Score
AT4G01250,AT1G19380,0.97431815
AT1G51890,AT3G26210,0.81359196
AT3G25882,AT1G02450,0.80268705
AT2G17740,AT2G30490,0.7860670999999999
AT3G19930,AT1G72300,0.7673774999999999
AT2G44370,AT5G44585,0.766994
AT1G19380,AT3G59880,0.74610054
AT4G01250,AT4G31550,0.7403778
AT2G30490,AT5G54160,0.7294331999999999
AT2G02220,AT1G70530,0.72092247
AT1G19380,AT1G65490,0.69733876
AT1G61360,AT2G44490,0.67621773
AT4G20000,AT5G67450,0.6598928000000001
AT3G29034,AT5G50200,0.65629417
AT1G51890,AT1G65690,0.65271056
AT1G49000,AT4G01700,0.6483044
AT2G44370,AT2G44380,0.6269642
AT5G04140,AT2G15620,0.62251985
AT1G64170,AT1G05300,0.6195493000000001
AT2G37040,AT1G51680,0.61217356
AT1G15950,AT5G54160,0.6025588000000001
AT5G01540,AT3G48650,0.5946607
AT2G02220,AT2G44490,0.5914161
AT1G37130,AT2G15620,0.59136
AT5G20250,AT5G10450,0.5860563
AT5G07440,AT5G20250,0.5707494000000001
AT2G44370,AT1G30730,0.5690504
AT2G37710,AT1G65490,0.5672579000000001
AT1G30720,AT5G48430,0.5666798000000001
AT1G19380,AT5G39580,0.5661161
AT5G01540,AT4G35180,0.56443757
AT3G52450,AT5G01540,0.5639134
AT4G08850,AT1G37130,0.5633087
AT2G44370,AT2G39200,0.56255877
AT4G08850,AT5G20480,0.56250954
AT2G39200,AT3G22060,0.5624578
AT4G31550,AT4G08850,0.5577494000000001
AT1G70530,AT1G64280,0.55746627
AT2G39530,AT5G55050,0.5536741999999999
AT4G08850,AT4G38560,0.5518691
AT4G38560,AT5G01540,0.55176514
AT5G67450,AT3G48650,0.5480003999999999
AT2G39530,AT4G30190,0.5478695
AT2G42360,AT1G65690,0.54248196
AT4G08850,AT5G46330,0.53848726
AT3G25882,AT4G35180,0.535044
AT1G51890,AT3G49780,0.5346908
AT3G21080,AT2G25000,0.5344831
AT2G17740,AT3G46280,0.53032494
AT3G21080,AT3G50480,0.52950275
AT1G52200,AT3G29034,0.5285169
AT1G51890,AT5G40780,0.5272294
AT2G25000,AT2G41220,0.52572113
AT1G51620,AT4G23210,0.5247666999999999
AT1G51890,AT1G77380,0.5236221999999999
AT4G23210,AT3G21080,0.52152056
AT1G70530,AT2G37710,0.5204448
AT4G38560,AT1G64280,0.5127772
AT1G51800,AT2G19190,0.5098942
AT3G19010,AT4G31550,0.5090175
AT2G15620,AT5G53460,0.5045332
AT1G05300,AT5G37600,0.5025363
AT5G04140,AT5G59080,0.5004665
AT3G46280,AT2G39530,0.49471214
AT1G37130,AT1G72300,0.49253473
AT3G52450,AT4G21410,0.4917996
AT3G26210,AT5G37600,0.49178946
AT1G30720,AT3G19930,0.48952049999999997
AT5G48430,AT5G50200,0.48532808
AT1G37130,AT1G15950,0.48442343
AT2G36690,AT4G01250,0.48238948
AT2G30360,AT5G06950,0.47937432
AT2G44370,AT2G36690,0.47349873
AT1G61360,AT2G38900,0.47014493
AT5G04140,AT3G19450,0.46742886
AT1G65690,AT2G31400,0.4658951
AT1G30730,AT4G20000,0.46556684
AT1G51680,AT1G15950,0.46515557
AT3G19010,AT4G27730,0.46341822
AT5G04140,AT5G07440,0.45744440000000003
AT2G44370,AT4G20000,0.45282853
AT1G65490,AT5G67450,0.44918800000000003
AT2G25470,AT1G12940,0.44813302
AT2G42360,AT4G20860,0.4478085
AT3G49780,AT5G53460,0.44778723
AT1G51800,AT3G19010,0.44201562
AT3G29034,AT3G49780,0.4401464
AT2G17740,AT2G39530,0.43839452
AT4G01250,AT3G52450,0.43564686
AT1G15950,AT1G37130,0.43115276
AT2G42360,AT2G30490,0.43097427
AT1G61380,AT5G06950,0.43085468
AT1G37130,AT5G59080,0.43080150000000006
AT2G42360,AT2G30360,0.42829457
AT2G44380,AT3G19450,0.42735943
AT2G44370,AT4G01700,0.42327127
AT1G51890,AT2G41220,0.41943336
AT5G39580,AT1G30720,0.41549727
AT1G37130,AT5G07440,0.41394946
AT2G25000,AT5G10450,0.4115023
AT2G44370,AT3G46280,0.41095287
AT2G36690,AT1G51620,0.41033912
AT4G23210,AT5G55050,0.40518218
AT2G25000,AT3G26210,0.40516755
AT3G52450,AT4G01250,0.4024572
AT4G27730,AT4G24160,0.401751
AT1G21670,AT5G59080,0.39643649999999997
AT5G66420,AT5G39580,0.39488208
AT4G20000,AT1G49000,0.39477375
AT1G70530,AT4G28140,0.39342058
AT3G52450,AT1G61360,0.39221540000000005
AT2G17740,AT1G52200,0.39107070000000005
AT4G20860,AT3G50480,0.38984874
AT1G51890,AT3G29034,0.3881248
AT5G04140,AT2G30360,0.3871647
AT5G44585,AT1G30730,0.3814656
AT5G20250,AT1G21670,0.38011733
AT2G44370,AT2G17740,0.37612313
AT3G45060,AT2G38900,0.37568125
AT5G37600,AT5G40780,0.3753453
AT2G22122,AT5G44585,0.37516782
AT2G38900,AT3G45060,0.37495792
AT2G44490,AT1G64280,0.3743188
AT2G19190,AT2G37040,0.37390100000000004
