Cause,Effect
fnr,dmsABC
fnr,ansB
fnr,frdABCD
fnr,icdA
fnr,sdhCDAB_b0725_sucABCD
fnr,aspA
fnr,arcA
fnr,glpACB
fnr,focA_pflB
fnr,nuoABCEFGHIJKLMN
fnr,cydAB
fnr,nirBDC_cysG
fnr,tdcABCDEFG
fnr,narGHJI
fnr,acs
fnr,ndh
fnr,caiF
fnr,narK
yjdHG,frdABCD
yjdHG,dctA
arcA,icdA
arcA,sdhCDAB_b0725_sucABCD
arcA,glpACB
arcA,focA_pflB
arcA,gltA
arcA,nuoABCEFGHIJKLMN
arcA,dctA
arcA,cydAB
arcA,betIBA
arcA,lctPRD
arcA,sodA
arcA,aceBAK
arcA,glcDEFGB
arcA,fumC
arcA,fadBA
arcA,fumA
narL,dmsABC
narL,frdABCD
narL,focA_pflB
narL,adhE
narL,nuoABCEFGHIJKLMN
narL,nirBDC_cysG
narL,narGHJI
narL,caiF
narL,narK
crp,ansB
crp,sdhCDAB_b0725_sucABCD
crp,glpACB
crp,focA_pflB
crp,araJ
crp,gltA
crp,dctA
crp,malXY
crp,dadAX
crp,ppiA
crp,cyaA
crp,manXYZ
crp,fur
crp,araC
crp,gntKU
crp,araFG_araH_1H_2
crp,melR
crp,tdcABCDEFG
crp,caiTABCDE
crp,srlAEBD_gutM_srlR_gutQ
crp,malK_lamB_malM
crp,ivbL_ilvBN
crp,deoCABD
crp,malI
crp,acs
crp,nagE
crp,speC
crp,glpTQ
crp,araE
crp,yiaKLMNOPQRS
crp,rpoH
crp,galS
crp,caiF
crp,mglBAC
crp,glgS
crp,cirA
crp,nagBACD
crp,ebgAC
crp,tnaLAB
crp,ompA
crp,malEFG
yhdG_fis,sdhCDAB_b0725_sucABCD
yhdG_fis,adhE
yhdG_fis,aspV
yhdG_fis,serX
yhdG_fis,argW
yhdG_fis,metT_leuW_glnUW_metU_glnVX
yhdG_fis,thrU_tyrU_glyT_thrT
yhdG_fis,proL
yhdG_fis,proK
FruR,icdA
FruR,adhE
FruR,ppsA
FruR,aceBAK
fur,fhuACDB
fur,fepDGC
fur,fepA_entD
fur,sodA
fur,entCEBA
fur,cirA
araC,araJ
araC,araFG_araH_1H_2
araC,araE
himA,focA_pflB
himA,nuoABCEFGHIJKLMN
himA,tdcABCDEFG
himA,caiTABCDE
himA,narGHJI
himA,sodA
himA,aceBAK
himA,glnHPQ
himA,osmE
himA,glcDEFGB
himA,pspABCDE
himA,ompR_envZ
himA,ompC
himA,narK
himA,himD
malI,malXY
rpoN,dctA
rpoN,glnHPQ
rpoN,pspABCDE
gntR,gntKU
rpoH,hflB
rpoH,dnaKJ
marRAB,sodA
marRAB,fumC
marRAB,zwf
galS,mglBAC
caiF,caiTABCDE
rob,sodA
rob,marRAB
rob,fumC
rob,ybaO
rob,zwf
ompR_envZ,csgDEFG
ompR_envZ,ompC
glcC,glcDEFGB
cytR,ppiA
cytR,deoCABD
cytR,rpoH
nlpD_rpoS,adhE
nlpD_rpoS,acs
nlpD_rpoS,alkA
glpR,glpACB
glpR,glpTQ
nagBACD,manXYZ
nagBACD,nagE
