adhE,nlpD_rpoS,narZYWV,narL,katG,alkA,frdABCD,fnr,dcuB_fumB,osmY,ansB,tdcABCDEFG,aspA,narGHJI,cyoABCDE,focA_pflB,dps,fdnGHI,nhaA,narK
1213.5600621066,51.1923236248,516.6250880224,534.7740612083,81.869711734,168.6014706692,1251.2359052902,987.5362109985,625.9059981478,481.5532432657,808.2847626226,10139.5414538696,3273.5184228686,789.2051703815,92.5962621354,808.8082742283,3302.7785993122,2105.7874384098,2292.3893675878,4457.0509434258
6410.6695212962,188.3327579688,838.0075829934,0.5474739862,175.1382553603,318.8389961615,800.0904909268,285.5272826393,477.2664283858,889.4120404739,316.5626146446,5429.2473269686,1737.191752116,133.9224034116,116.0412940885,1053.0599126039,5219.6081023632,583.5219943311,5105.5989078737,301.8528034444
3745.1022354438,153.4384792295,670.8136238775,166.1422656339,154.9867932379,280.5366056192,2769.9901896213,1852.5669264216,1327.619603124,619.9507902027,1379.6872277114,8611.3520101468,5625.269363709,784.2325989707,36.6487615867,2076.0106437627,3979.3682272286,2021.3178007502,4021.8583510873,3851.1618564482
1574.5788504659,63.3322160008,551.0525574539,462.3849584741,99.3243049331,184.8778870757,2416.4419756921,2198.8317494191,925.6259617797,494.6964155448,1477.1092141193,11000.7904016991,5755.0124280042,797.886222157,26.1222843955,1311.3209297676,3552.8010758446,2076.6135923035,2727.5985386376,4741.0661822202
1606.3860174365,51.3416184607,571.9394941086,493.3168005501,80.7637149823,165.862941242,1558.9435455475,1143.9607056877,762.7256261544,447.8101886226,747.4161207184,9335.2144229768,3558.8105773248,665.1012134474,76.1308024524,1118.3537159337,2750.4497947293,2037.9284652445,1899.3494379845,3464.7335504026
2686.4631694538,82.3427228437,449.43786563,314.7539812173,103.4690329054,172.17080856,2211.619239329,1519.5991749791,818.4223843618,805.3070276867,1528.3675410523,10802.8661269203,4484.9122712163,669.0769880029,51.558513624,1548.9674126485,3718.8847405083,2427.0155519717,3060.139756669,3684.4410202253
400.067787246,13.1389720012,134.4458300556,569.2041686479,24.6988316438,67.6982756498,1871.6754353728,1673.1926579572,960.9975000628,140.3839258568,1639.9367964412,10864.4073070368,5345.1026741991,820.044632818,53.7577854483,1112.1002688646,1131.7874704183,2557.9009868244,1022.1944368206,5288.9826615638
1506.8225168072,55.828771633,436.5809725566,413.9156318827,102.1464556664,190.1450244083,2703.9274951773,2543.0770507204,1092.2027475479,494.2096273096,1744.226989182,12122.7285485001,5956.7178234593,847.9991718996,8.1376880311,1535.2162040943,3226.7696910028,2452.2727534022,2351.6478293978,5583.554775461
2540.4449441921,110.0789982002,606.1623782091,245.1679309141,100.2932321816,176.1642499806,2206.8033371109,1901.982815694,1177.1850676545,717.0736848127,1638.4871701906,11844.3637205111,4959.7177218943,681.5442766317,20.6723805268,1717.2269573158,3298.0249683438,2038.3131063663,3097.0814720368,4253.8963345895
2291.8935915223,73.664262973,598.3965047833,343.8231645589,89.8765420841,190.6016891605,1628.7864749,1101.8311854263,962.3532943094,493.2437501227,1273.1086297585,9977.5619691091,4480.3377146097,693.6417022101,48.6069916626,1137.226764792,3200.081011761,1774.6393518049,3410.0301929774,4665.5800271621
